Product,Sale Price,Regular Price
Racetrap,"Rs. 1,499.00","Rs. 3,599.00"
Hillcharge,"Rs. 1,699.00","Rs. 3,599.00"
Airwave,"Rs. 1,699.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
Hillcharge,"Rs. 1,499.00","Rs. 3,599.00"
Ultras,"Rs. 1,699.00","Rs. 3,599.00"
WX Peak,"Rs. 1,499.00","Rs. 3,599.00"
Hillcharge,"Rs. 1,499.00","Rs. 3,599.00"
Mt Summit,"Rs. 1,499.00","Rs. 3,599.00"
Hillcharge,"Rs. 1,499.00","Rs. 3,599.00"
Ultras,"Rs. 1,499.00","Rs. 3,599.00"
Hillcharge,Not available,Not available
Speedcraft,"Rs. 1,499.00","Rs. 3,599.00"
Ultras,"Rs. 1,499.00","Rs. 3,599.00"
Mt Summit,"Rs. 1,499.00","Rs. 3,599.00"
WX Peak,"Rs. 1,499.00","Rs. 3,599.00"
Hillcharge,"Rs. 1,499.00","Rs. 3,599.00"
Sonic,"Rs. 1,499.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
Airwave,"Rs. 1,499.00","Rs. 3,599.00"
Airwave,"Rs. 1,499.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
OUTLAWS,"Rs. 1,349.00","Rs. 3,599.00"
Victors,Not available,Not available
Surge,"Rs. 1,499.00","Rs. 3,599.00"
Victors,Not available,Not available
Victors,"Rs. 1,699.00","Rs. 3,599.00"
Hillcharge,"Rs. 1,499.00","Rs. 3,599.00"
Victors,"Rs. 1,699.00","Rs. 3,599.00"
Hillcharge,"Rs. 1,499.00","Rs. 3,599.00"
Hillcharge,"Rs. 1,499.00","Rs. 3,599.00"
Victors,Not available,Not available
Sonic,"Rs. 1,499.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
Millenia,"Rs. 1,699.00","Rs. 3,599.00"
Sogno,"Rs. 1,699.00","Rs. 3,599.00"
Moto X2,"Rs. 1,699.00","Rs. 3,599.00"
Moto X2,Not available,Not available
Classics,"Rs. 1,499.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
OUTLAWS,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,Rs. 999.00,"Rs. 3,599.00"
Ashburn,"Rs. 1,499.00","Rs. 3,599.00"
Ashburn,"Rs. 1,499.00","Rs. 3,599.00"
Fox Mountain,"Rs. 1,499.00","Rs. 3,599.00"
Surge,"Rs. 1,499.00","Rs. 3,599.00"
SciFi,"Rs. 2,499.00","Rs. 4,999.00"
SciFi,"Rs. 2,499.00","Rs. 4,999.00"
S'TRACK,"Rs. 1,699.00","Rs. 3,599.00"
Hamiltons,"Rs. 1,499.00","Rs. 3,599.00"
Raptor,"Rs. 2,499.00","Rs. 4,999.00"
SciFi,"Rs. 2,499.00","Rs. 4,999.00"
Airwave,"Rs. 1,499.00","Rs. 3,599.00"
Raptor,"Rs. 2,499.00","Rs. 4,999.00"
Vulcans,"Rs. 2,499.00","Rs. 4,999.00"
Airwave,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Hamiltons,"Rs. 1,499.00","Rs. 3,599.00"
Magma,"Rs. 1,699.00","Rs. 3,599.00"
Hamiltons,"Rs. 1,499.00","Rs. 3,599.00"
Surge,"Rs. 1,499.00","Rs. 3,599.00"
Airwave,"Rs. 1,499.00","Rs. 3,599.00"
Airwave,"Rs. 1,499.00","Rs. 3,599.00"
Vulcans,"Rs. 2,499.00","Rs. 4,999.00"
Vulcans,Not available,Not available
Vulcans,"Rs. 2,499.00","Rs. 4,999.00"
Sonic,"Rs. 1,499.00","Rs. 3,599.00"
Victors,Not available,Not available
Victors,Not available,Not available
Surge,"Rs. 1,499.00","Rs. 3,599.00"
Victors,"Rs. 1,699.00","Rs. 3,599.00"
Victors,"Rs. 1,699.00","Rs. 3,599.00"
Surge,"Rs. 1,499.00","Rs. 3,599.00"
Surge,"Rs. 1,499.00","Rs. 3,599.00"
Hillcharge,"Rs. 1,499.00","Rs. 3,599.00"
Hillcharge,"Rs. 1,499.00","Rs. 3,599.00"
Sonic,"Rs. 1,499.00","Rs. 3,599.00"
Hillcharge,"Rs. 1,499.00","Rs. 3,599.00"
Hillcharge,"Rs. 1,499.00","Rs. 3,599.00"
Rebels,"Rs. 1,699.00","Rs. 3,599.00"
Rebels,"Rs. 1,699.00","Rs. 3,599.00"
Classics,Not available,Not available
Crusaders,"Rs. 1,499.00","Rs. 3,599.00"
Crusaders,"Rs. 1,499.00","Rs. 3,599.00"
Crusaders,"Rs. 1,499.00","Rs. 3,599.00"
Crusaders,"Rs. 1,499.00","Rs. 3,599.00"
Crusaders,"Rs. 1,499.00","Rs. 3,599.00"
Crusaders,"Rs. 1,499.00","Rs. 3,599.00"
Mount Rogers,Not available,Not available
Mount Rogers,Not available,Not available
Dash,"Rs. 1,499.00","Rs. 3,599.00"
Classics,"Rs. 1,499.00","Rs. 3,599.00"
OUTLAWS,Not available,Not available
OUTLAWS,Not available,Not available
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Cielo,"Rs. 1,699.00","Rs. 3,599.00"
Mare Blu,"Rs. 1,699.00","Rs. 3,599.00"
Capri,"Rs. 1,699.00","Rs. 3,599.00"
Capri,"Rs. 1,699.00","Rs. 3,599.00"
Capri,"Rs. 1,699.00","Rs. 3,599.00"
Mare Blu,"Rs. 1,699.00","Rs. 3,599.00"
Cielo,"Rs. 1,699.00","Rs. 3,599.00"
Cielo,"Rs. 1,699.00","Rs. 3,599.00"
Cielo,"Rs. 1,699.00","Rs. 3,599.00"
Mare Blu,"Rs. 1,699.00","Rs. 3,599.00"
Mare Blu,"Rs. 1,699.00","Rs. 3,599.00"
Capri,"Rs. 1,699.00","Rs. 3,599.00"
Cielo,"Rs. 1,699.00","Rs. 3,599.00"
Capri,"Rs. 1,699.00","Rs. 3,599.00"
Cielo,"Rs. 1,699.00","Rs. 3,599.00"
Capri,"Rs. 1,699.00","Rs. 3,599.00"
Capri,"Rs. 1,699.00","Rs. 3,599.00"
Mare Blu,"Rs. 1,699.00","Rs. 3,599.00"
Cielo,"Rs. 1,699.00","Rs. 3,599.00"
Mokuzai,"Rs. 2,799.00","Rs. 5,999.00"
Mokuzai,"Rs. 2,799.00","Rs. 5,999.00"
Classics,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Mokuzai,"Rs. 2,799.00","Rs. 5,999.00"
Mokuzai,"Rs. 2,799.00","Rs. 5,999.00"
Mokuzai,"Rs. 2,799.00","Rs. 5,999.00"
Mokuzai,"Rs. 2,799.00","Rs. 5,999.00"
Mokuzai,"Rs. 2,799.00","Rs. 5,999.00"
Mokuzai,Not available,Not available
Mokuzai,Not available,Not available
Classics,"Rs. 1,499.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
OUTLAWS,Not available,Not available
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
Classics,Rs. 999.00,"Rs. 3,599.00"
P-17,"Rs. 1,499.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
Classics,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
Highlands,"Rs. 1,499.00","Rs. 3,599.00"
Hamptons,"Rs. 1,499.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
Dash,Rs. 999.00,"Rs. 3,599.00"
Hamiltons,Not available,Not available
Classics,Not available,Not available
OUTLAWS,"Rs. 1,499.00","Rs. 3,599.00"
Classics,"Rs. 1,499.00","Rs. 3,599.00"
Airwave,"Rs. 1,699.00","Rs. 3,599.00"
Logan Square,"Rs. 1,499.00","Rs. 3,599.00"
AIRRAGE,"Rs. 1,699.00","Rs. 3,599.00"
Brezza,"Rs. 1,699.00","Rs. 3,599.00"
Rodeo,"Rs. 1,499.00","Rs. 3,599.00"
Magma,"Rs. 1,699.00","Rs. 3,599.00"
Brezza,"Rs. 1,699.00","Rs. 3,599.00"
Arezzo,"Rs. 1,699.00","Rs. 3,599.00"
Zephyrs,"Rs. 1,999.00","Rs. 3,599.00"
Rodeo,Not available,Not available
Sole,"Rs. 1,699.00","Rs. 3,599.00"
Zephyrs,"Rs. 1,999.00","Rs. 3,599.00"
Magma,"Rs. 1,699.00","Rs. 3,599.00"
Magma,"Rs. 1,699.00","Rs. 3,599.00"
Sogno,"Rs. 1,699.00","Rs. 3,599.00"
Millenia,"Rs. 1,699.00","Rs. 3,599.00"
AIRRAGE,Not available,Not available
Luna,"Rs. 1,699.00","Rs. 3,599.00"
Luna,"Rs. 1,699.00","Rs. 3,599.00"
Millenia,"Rs. 1,699.00","Rs. 3,599.00"
Vento,"Rs. 1,699.00","Rs. 3,599.00"
Millenia,"Rs. 1,699.00","Rs. 3,599.00"
Vento,"Rs. 1,699.00","Rs. 3,599.00"
Amalfi,"Rs. 1,699.00","Rs. 3,599.00"
Amalfi,"Rs. 1,699.00","Rs. 3,599.00"
Celeste,"Rs. 1,699.00","Rs. 3,599.00"
Celeste,"Rs. 1,699.00","Rs. 3,599.00"
Celeste,"Rs. 1,699.00","Rs. 3,599.00"
Celeste,"Rs. 1,699.00","Rs. 3,599.00"
Luna,"Rs. 1,699.00","Rs. 3,599.00"
Luna,"Rs. 1,699.00","Rs. 3,599.00"
Sogno,"Rs. 1,699.00","Rs. 3,599.00"
Arezzo,"Rs. 1,699.00","Rs. 3,599.00"
Arezzo,"Rs. 1,699.00","Rs. 3,599.00"
Arezzo,"Rs. 1,699.00","Rs. 3,599.00"
Vento,"Rs. 1,699.00","Rs. 3,599.00"
Vento,"Rs. 1,699.00","Rs. 3,599.00"
Forte,"Rs. 1,699.00","Rs. 3,599.00"
Forte,"Rs. 1,699.00","Rs. 3,599.00"
Forte,"Rs. 1,699.00","Rs. 3,599.00"
Forte,"Rs. 1,699.00","Rs. 3,599.00"
Brava,"Rs. 1,699.00","Rs. 3,599.00"
Brava,"Rs. 1,699.00","Rs. 3,599.00"
Brava,"Rs. 1,699.00","Rs. 3,599.00"
Amalfi,"Rs. 1,699.00","Rs. 3,599.00"
Sogno,"Rs. 1,699.00","Rs. 3,599.00"
Renshaw,"Rs. 1,499.00","Rs. 3,599.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Amalfi,"Rs. 1,699.00","Rs. 3,599.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Limited Edition,"Rs. 2,799.00","Rs. 5,999.00"
Rodeo,Not available,Not available
OUTLAWS,Not available,Not available
P-17,"Rs. 1,499.00","Rs. 3,599.00"
Classics,"Rs. 1,499.00","Rs. 3,599.00"
AIRRAGE,Not available,Not available
Highlands,"Rs. 1,499.00","Rs. 3,599.00"
Dash,"Rs. 1,499.00","Rs. 3,599.00"
Classics,"Rs. 1,499.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
Mokuzai,"Rs. 2,799.00","Rs. 5,999.00"
AIRRAGE,Not available,Not available
AIRRAGE,Not available,Not available
Dash,"Rs. 1,499.00","Rs. 3,599.00"
Hamptons,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,Not available,Not available
OUTLAWS,"Rs. 1,499.00","Rs. 3,599.00"
OUTLAWS,"Rs. 1,499.00","Rs. 3,599.00"
Dash,"Rs. 1,499.00","Rs. 3,599.00"
OUTLAWS,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Victors,Not available,Not available
Woodies,Not available,Not available
Moto X2,Not available,Not available
Not available,Not available,Not available
Not available,Not available,Not available
Not available,Not available,Not available
